Timestamp,Image,Model_Source,Evidence_Type,Confidence_Score,Confidence_Text,Visualized,Coords
2026-01-16T22:30:56.411716,scene_11,Standard_Model,Person,0.939704418182373,93.97%,YES,"[280, 622, 2733, 1134]"
2026-01-16T22:30:56.411973,scene_11,Custom_Model,Gun,0.4033278822898865,40.33%,YES,"[1390, 1079, 1859, 1267]"
2026-01-16T22:30:56.411883,scene_11,Standard_Model,Laptop,0.33185771107673645,33.19%,YES,"[1739, 953, 1900, 1174]"
2026-01-16T22:30:56.412028,scene_11,Custom_Model,Gun,0.10583054274320602,10.58%,NO,"[376, 289, 584, 499]"
2026-01-16T22:30:56.412031,scene_11,Custom_Model,Gun,0.06591220945119858,6.59%,NO,"[1459, 1017, 1641, 1125]"
2026-01-16T22:30:56.412034,scene_11,Custom_Model,Gun,0.05551043897867203,5.55%,NO,"[345, 651, 601, 897]"
2026-01-16T22:30:56.412037,scene_11,Custom_Model,Gun,0.04930495470762253,4.93%,NO,"[634, 1059, 711, 1104]"
2026-01-16T22:30:56.412040,scene_11,Custom_Model,Gun,0.04136781021952629,4.14%,NO,"[2116, 1212, 2469, 1369]"
2026-01-16T22:30:56.412042,scene_11,Custom_Model,Gun,0.030676672235131264,3.07%,NO,"[1543, 1019, 1638, 1087]"
2026-01-16T22:30:56.412045,scene_11,Custom_Model,Gun,0.022754034027457237,2.28%,NO,"[2031, 647, 2266, 841]"
2026-01-16T22:30:56.412047,scene_11,Custom_Model,Gun,0.01963355951011181,1.96%,NO,"[1413, 1002, 1653, 1256]"
2026-01-16T22:30:56.412050,scene_11,Custom_Model,Gun,0.01658298820257187,1.66%,NO,"[405, 666, 498, 752]"
2026-01-16T22:30:56.412053,scene_11,Custom_Model,Gun,0.015062324702739716,1.51%,NO,"[1187, 1228, 1272, 1264]"
2026-01-16T22:30:56.411953,scene_11,Standard_Model,Person,0.011482369154691696,1.15%,NO,"[376, 296, 629, 571]"
2026-01-16T22:30:56.412055,scene_11,Custom_Model,Gun,0.007427659351378679,0.74%,NO,"[724, 1484, 778, 1535]"
2026-01-16T22:30:56.412058,scene_11,Custom_Model,Gun,0.0071806879714131355,0.72%,NO,"[2502, 1369, 2534, 1402]"
2026-01-16T22:30:56.412061,scene_11,Custom_Model,Gun,0.007054603658616543,0.71%,NO,"[2133, 1236, 2267, 1312]"
2026-01-16T22:30:56.412063,scene_11,Custom_Model,Gun,0.006890163291245699,0.69%,NO,"[1825, 638, 2745, 987]"
2026-01-16T22:30:56.412066,scene_11,Custom_Model,Gun,0.006728216540068388,0.67%,NO,"[711, 1481, 940, 1536]"
2026-01-16T22:30:56.412068,scene_11,Custom_Model,Gun,0.006519527640193701,0.65%,NO,"[1287, 1442, 1327, 1470]"
2026-01-16T22:30:56.412071,scene_11,Custom_Model,Gun,0.006492051295936108,0.65%,NO,"[44, 585, 2773, 1518]"
2026-01-16T22:30:56.412074,scene_11,Custom_Model,Gun,0.0064757345244288445,0.65%,NO,"[1379, 1045, 2499, 1359]"
2026-01-16T22:30:56.412076,scene_11,Custom_Model,Gun,0.006048272829502821,0.60%,NO,"[1386, 904, 2211, 1277]"
2026-01-16T22:30:56.412079,scene_11,Custom_Model,Gun,0.00564932357519865,0.56%,NO,"[2010, 647, 2474, 877]"
2026-01-16T22:30:56.412081,scene_11,Custom_Model,Gun,0.00554619962349534,0.55%,NO,"[928, 1161, 992, 1202]"
2026-01-16T22:30:56.412084,scene_11,Custom_Model,Gun,0.00542680686339736,0.54%,NO,"[471, 1478, 919, 1536]"
2026-01-16T22:30:56.412086,scene_11,Custom_Model,Gun,0.005340519826859236,0.53%,NO,"[747, 1050, 791, 1093]"
2026-01-16T22:30:56.412089,scene_11,Custom_Model,Gun,0.005235656630247831,0.52%,NO,"[1392, 608, 2759, 1278]"
2026-01-16T22:30:56.412092,scene_11,Custom_Model,Gun,0.004669329151511192,0.47%,NO,"[1953, 609, 2343, 957]"
2026-01-16T22:30:56.412094,scene_11,Custom_Model,Gun,0.004604192916303873,0.46%,NO,"[1855, 1126, 2500, 1383]"
2026-01-16T22:30:56.412097,scene_11,Custom_Model,Gun,0.00448805233463645,0.45%,NO,"[593, 1052, 712, 1124]"
2026-01-16T22:30:56.412099,scene_11,Custom_Model,Gun,0.004169984720647335,0.42%,NO,"[459, 1145, 487, 1179]"
2026-01-16T22:30:56.412102,scene_11,Custom_Model,Gun,0.0036411744076758623,0.36%,NO,"[256, 591, 1647, 1165]"
2026-01-16T22:30:56.412106,scene_11,Custom_Model,Gun,0.0036163656041026115,0.36%,NO,"[874, 1048, 918, 1079]"
2026-01-16T22:30:56.411958,scene_11,Standard_Model,Cup,0.0035037014167755842,0.35%,NO,"[2658, 186, 2729, 231]"
2026-01-16T22:30:56.412109,scene_11,Custom_Model,Gun,0.0034393963869661093,0.34%,NO,"[2336, 1237, 2464, 1366]"
2026-01-16T22:30:56.411962,scene_11,Standard_Model,Person,0.0033698745537549257,0.34%,NO,"[2035, 670, 2256, 831]"
2026-01-16T22:30:56.412111,scene_11,Custom_Model,Gun,0.0033123705070465803,0.33%,NO,"[22, 17, 2767, 1192]"
2026-01-16T22:30:56.412115,scene_11,Custom_Model,Gun,0.003185766516253352,0.32%,NO,"[2367, 1310, 2463, 1363]"
2026-01-16T22:30:56.412117,scene_11,Custom_Model,Gun,0.0030592544935643673,0.31%,NO,"[819, 1047, 845, 1084]"
2026-01-16T22:30:56.412120,scene_11,Custom_Model,Gun,0.0028550473507493734,0.29%,NO,"[1184, 1195, 1273, 1264]"
2026-01-16T22:30:56.412122,scene_11,Custom_Model,Gun,0.002836169907823205,0.28%,NO,"[1402, 958, 1649, 1128]"
2026-01-16T22:30:56.412125,scene_11,Custom_Model,Gun,0.0028211071621626616,0.28%,NO,"[1734, 944, 1901, 1184]"
2026-01-16T22:30:56.411965,scene_11,Standard_Model,Suitcase,0.0025071846321225166,0.25%,NO,"[1871, 201, 2091, 250]"
2026-01-16T22:30:56.412127,scene_11,Custom_Model,Gun,0.0024949898943305016,0.25%,NO,"[2713, 87, 2815, 778]"
2026-01-16T22:30:56.412130,scene_11,Custom_Model,Gun,0.0024915009271353483,0.25%,NO,"[850, 1047, 880, 1079]"
2026-01-16T22:30:56.412132,scene_11,Custom_Model,Gun,0.002421262674033642,0.24%,NO,"[1835, 0, 2174, 274]"
2026-01-16T22:30:56.412135,scene_11,Custom_Model,Gun,0.0024108595680445433,0.24%,NO,"[1937, 1417, 1958, 1439]"
2026-01-16T22:30:56.411968,scene_11,Standard_Model,Laptop,0.0024075841065496206,0.24%,NO,"[2658, 186, 2729, 230]"
2026-01-16T22:30:56.412138,scene_11,Custom_Model,Gun,0.002376252319663763,0.24%,NO,"[1347, 1134, 1410, 1164]"
2026-01-16T22:30:56.412140,scene_11,Custom_Model,Gun,0.002278213854879141,0.23%,NO,"[1868, 968, 2747, 1415]"
2026-01-16T22:30:56.412142,scene_11,Custom_Model,Gun,0.0022664291318506002,0.23%,NO,"[1577, 166, 1763, 284]"
2026-01-16T22:30:56.412145,scene_11,Custom_Model,Gun,0.0022646409925073385,0.23%,NO,"[1590, 266, 2793, 1102]"
2026-01-16T22:30:56.412148,scene_11,Custom_Model,Gun,0.0022116589825600386,0.22%,NO,"[1553, 94, 1802, 288]"
2026-01-16T22:30:56.412150,scene_11,Custom_Model,Gun,0.00208135973662138,0.21%,NO,"[676, 1468, 1196, 1536]"
2026-01-16T22:30:56.412153,scene_11,Custom_Model,Gun,0.0019276380771771073,0.19%,NO,"[626, 1015, 738, 1111]"
2026-01-16T22:30:56.412155,scene_11,Custom_Model,Gun,0.0019112025620415807,0.19%,NO,"[1811, 653, 2277, 843]"
2026-01-16T22:30:56.412159,scene_11,Custom_Model,Gun,0.0018936935812234879,0.19%,NO,"[1552, 65, 2108, 303]"
2026-01-16T22:30:56.412162,scene_11,Custom_Model,Gun,0.0018284529214724898,0.18%,NO,"[2381, 129, 2815, 771]"
2026-01-16T22:30:56.412164,scene_11,Custom_Model,Gun,0.0018158797174692154,0.18%,NO,"[851, 233, 877, 279]"
2026-01-16T22:30:56.412167,scene_11,Custom_Model,Gun,0.0017457461217418313,0.17%,NO,"[2128, 1335, 2179, 1369]"
