Timestamp,Image,Model_Source,Evidence_Type,Confidence_Score,Confidence_Text,Visualized,Coords
2026-01-16T22:30:57.833811,scene_13,Standard_Model,Person,0.9455163478851318,94.55%,YES,"[881, 611, 1534, 888]"
2026-01-16T22:30:57.833952,scene_13,Standard_Model,Wine Glass,0.9444978833198547,94.45%,YES,"[543, 692, 697, 966]"
2026-01-16T22:30:57.834063,scene_13,Standard_Model,Scissors,0.9340476393699646,93.40%,YES,"[966, 907, 1171, 992]"
2026-01-16T22:30:57.834165,scene_13,Standard_Model,Cell Phone,0.9141740202903748,91.42%,YES,"[164, 841, 381, 972]"
2026-01-16T22:30:57.834261,scene_13,Standard_Model,Person,0.9131736159324646,91.32%,YES,"[212, 89, 658, 372]"
2026-01-16T22:30:57.834358,scene_13,Standard_Model,Cup,0.8796562552452087,87.97%,YES,"[294, 582, 359, 641]"
2026-01-16T22:30:57.834436,scene_13,Standard_Model,Cup,0.8732812404632568,87.33%,YES,"[526, 310, 589, 387]"
2026-01-16T22:30:57.834502,scene_13,Standard_Model,Bottle,0.8613959550857544,86.14%,YES,"[22, 274, 78, 439]"
2026-01-16T22:30:57.834594,scene_13,Standard_Model,Bottle,0.8492539525032043,84.93%,YES,"[628, 156, 663, 265]"
2026-01-16T22:30:57.834676,scene_13,Standard_Model,Cup,0.8340586423873901,83.41%,YES,"[192, 393, 279, 476]"
2026-01-16T22:30:57.834749,scene_13,Standard_Model,Bottle,0.8145911693572998,81.46%,YES,"[235, 517, 277, 654]"
2026-01-16T22:30:57.834831,scene_13,Standard_Model,Cell Phone,0.7974811792373657,79.75%,YES,"[587, 327, 675, 381]"
2026-01-16T22:30:57.834928,scene_13,Standard_Model,Bottle,0.795279324054718,79.53%,YES,"[205, 546, 241, 673]"
2026-01-16T22:30:57.835011,scene_13,Standard_Model,Person,0.7830315828323364,78.30%,YES,"[1025, 58, 1458, 302]"
2026-01-16T22:30:57.835103,scene_13,Standard_Model,Knife,0.7699694037437439,77.00%,YES,"[182, 711, 468, 862]"
2026-01-16T22:30:57.835167,scene_13,Standard_Model,Handbag,0.7635142803192139,76.35%,YES,"[0, 168, 189, 351]"
2026-01-16T22:30:57.835270,scene_13,Standard_Model,Backpack,0.6392202973365784,63.92%,YES,"[924, 143, 1087, 282]"
2026-01-16T22:30:57.835396,scene_13,Standard_Model,Cup,0.5957669019699097,59.58%,YES,"[158, 199, 189, 248]"
2026-01-16T22:30:57.835462,scene_13,Standard_Model,Cup,0.46549004316329956,46.55%,YES,"[587, 251, 629, 301]"
2026-01-16T22:30:57.836188,scene_13,Custom_Model,Gun,0.4554910957813263,45.55%,YES,"[192, 275, 491, 434]"
2026-01-16T22:30:57.835513,scene_13,Standard_Model,Backpack,0.38588008284568787,38.59%,YES,"[1460, 122, 1535, 230]"
2026-01-16T22:30:57.835609,scene_13,Standard_Model,Cup,0.35946953296661377,35.95%,YES,"[167, 605, 206, 654]"
2026-01-16T22:30:57.835674,scene_13,Standard_Model,Backpack,0.32634639739990234,32.63%,YES,"[785, 187, 936, 279]"
2026-01-16T22:30:57.836261,scene_13,Custom_Model,Gun,0.3200643062591553,32.01%,YES,"[853, 363, 1012, 459]"
2026-01-16T22:30:57.835765,scene_13,Standard_Model,Cup,0.2842670977115631,28.43%,NO,"[172, 350, 267, 427]"
2026-01-16T22:30:57.835769,scene_13,Standard_Model,Bottle,0.2763424515724182,27.63%,NO,"[324, 515, 385, 607]"
2026-01-16T22:30:57.835773,scene_13,Standard_Model,Bottle,0.2749217450618744,27.49%,NO,"[103, 577, 141, 668]"
2026-01-16T22:30:57.835777,scene_13,Standard_Model,Cup,0.20996488630771637,21.00%,NO,"[166, 339, 216, 420]"
2026-01-16T22:30:57.835780,scene_13,Standard_Model,Bottle,0.19138242304325104,19.14%,NO,"[570, 520, 595, 579]"
2026-01-16T22:30:57.835786,scene_13,Standard_Model,Laptop,0.16808582842350006,16.81%,NO,"[650, 256, 760, 334]"
2026-01-16T22:30:57.835790,scene_13,Standard_Model,Cup,0.1615973263978958,16.16%,NO,"[106, 591, 142, 668]"
2026-01-16T22:30:57.836325,scene_13,Custom_Model,Gun,0.14486579596996307,14.49%,NO,"[959, 897, 1176, 994]"
2026-01-16T22:30:57.835793,scene_13,Standard_Model,Cup,0.10898708552122116,10.90%,NO,"[212, 345, 267, 397]"
2026-01-16T22:30:57.835797,scene_13,Standard_Model,Wine Glass,0.10613854229450226,10.61%,NO,"[165, 336, 223, 409]"
2026-01-16T22:30:57.836329,scene_13,Custom_Model,Gun,0.10276330262422562,10.28%,NO,"[678, 261, 728, 308]"
2026-01-16T22:30:57.835801,scene_13,Standard_Model,Cell Phone,0.10245268791913986,10.25%,NO,"[1269, 442, 1327, 481]"
2026-01-16T22:30:57.836332,scene_13,Custom_Model,Gun,0.09648675471544266,9.65%,NO,"[586, 323, 676, 382]"
2026-01-16T22:30:57.835804,scene_13,Standard_Model,Cell Phone,0.09436484426259995,9.44%,NO,"[658, 233, 711, 257]"
2026-01-16T22:30:57.835809,scene_13,Standard_Model,Cup,0.09330084174871445,9.33%,NO,"[1018, 262, 1038, 291]"
2026-01-16T22:30:57.835813,scene_13,Standard_Model,Bottle,0.08747058361768723,8.75%,NO,"[547, 516, 575, 577]"
2026-01-16T22:30:57.835816,scene_13,Standard_Model,Backpack,0.08334444463253021,8.33%,NO,"[371, 71, 442, 128]"
2026-01-16T22:30:57.835820,scene_13,Standard_Model,Bottle,0.08096662163734436,8.10%,NO,"[811, 815, 848, 871]"
2026-01-16T22:30:57.835823,scene_13,Standard_Model,Wine Glass,0.07861407101154327,7.86%,NO,"[173, 283, 200, 343]"
2026-01-16T22:30:57.835827,scene_13,Standard_Model,Cell Phone,0.057388000190258026,5.74%,NO,"[1208, 313, 1260, 344]"
2026-01-16T22:30:57.836336,scene_13,Custom_Model,Gun,0.057177942246198654,5.72%,NO,"[174, 696, 481, 894]"
2026-01-16T22:30:57.835830,scene_13,Standard_Model,Scissors,0.0503338947892189,5.03%,NO,"[82, 713, 164, 739]"
2026-01-16T22:30:57.835833,scene_13,Standard_Model,Person,0.04911592975258827,4.91%,NO,"[1027, 85, 1227, 301]"
2026-01-16T22:30:57.835837,scene_13,Standard_Model,Bottle,0.044558580964803696,4.46%,NO,"[0, 272, 26, 437]"
2026-01-16T22:30:57.836339,scene_13,Custom_Model,Gun,0.04425256699323654,4.43%,NO,"[380, 275, 479, 371]"
2026-01-16T22:30:57.835841,scene_13,Standard_Model,Bottle,0.04118017852306366,4.12%,NO,"[592, 519, 621, 578]"
2026-01-16T22:30:57.835845,scene_13,Standard_Model,Scissors,0.03670627251267433,3.67%,NO,"[45, 703, 163, 725]"
2026-01-16T22:30:57.836344,scene_13,Custom_Model,Gun,0.036492325365543365,3.65%,NO,"[1506, 653, 1536, 764]"
2026-01-16T22:30:57.835848,scene_13,Standard_Model,Scissors,0.03578731790184975,3.58%,NO,"[18, 746, 125, 782]"
2026-01-16T22:30:57.836348,scene_13,Custom_Model,Gun,0.03537756949663162,3.54%,NO,"[963, 648, 1048, 729]"
2026-01-16T22:30:57.836351,scene_13,Custom_Model,Gun,0.03229491785168648,3.23%,NO,"[0, 606, 763, 1015]"
2026-01-16T22:30:57.835852,scene_13,Standard_Model,Bottle,0.031041549518704414,3.10%,NO,"[841, 813, 878, 871]"
2026-01-16T22:30:57.835855,scene_13,Standard_Model,Cell Phone,0.030330223962664604,3.03%,NO,"[1294, 316, 1341, 343]"
2026-01-16T22:30:57.836355,scene_13,Custom_Model,Gun,0.0298787709325552,2.99%,NO,"[602, 92, 655, 127]"
2026-01-16T22:30:57.836358,scene_13,Custom_Model,Gun,0.028892841190099716,2.89%,NO,"[597, 62, 686, 163]"
2026-01-16T22:30:57.836361,scene_13,Custom_Model,Gun,0.025975989177823067,2.60%,NO,"[1459, 590, 1536, 848]"
2026-01-16T22:30:57.835858,scene_13,Standard_Model,Knife,0.024626852944493294,2.46%,NO,"[200, 299, 478, 430]"
2026-01-16T22:30:57.836364,scene_13,Custom_Model,Gun,0.024441860616207123,2.44%,NO,"[1015, 81, 1116, 174]"
2026-01-16T22:30:57.836368,scene_13,Custom_Model,Gun,0.023996932432055473,2.40%,NO,"[178, 701, 306, 796]"
2026-01-16T22:30:57.836371,scene_13,Custom_Model,Gun,0.023890353739261627,2.39%,NO,"[626, 153, 667, 270]"
2026-01-16T22:30:57.836375,scene_13,Custom_Model,Gun,0.02314555086195469,2.31%,NO,"[564, 248, 638, 317]"
