Timestamp,Source_Image,Evidence_Type,Confidence,Location
2026-01-16T15:47:25.790943,1,Person (Suspect/Victim),94.90%,"[583, 145, 819, 704]"
2026-01-16T15:47:25.791185,1,Suitcase,86.59%,"[894, 142, 1178, 424]"
2026-01-16T15:47:25.791347,1,Backpack,81.86%,"[747, 5, 913, 172]"
2026-01-16T15:47:25.791459,1,Bottle,81.30%,"[855, 158, 888, 222]"
2026-01-16T15:47:25.791573,1,Cup,77.66%,"[435, 447, 467, 486]"
2026-01-16T15:47:25.791675,1,Bottle,61.76%,"[573, 142, 601, 212]"
2026-01-16T15:47:25.791787,1,Handbag,52.39%,"[910, 585, 1009, 684]"
2026-01-16T15:47:25.791911,1,Cup,48.02%,"[814, 220, 842, 264]"
2026-01-16T15:47:25.792009,1,Handbag,46.25%,"[459, 356, 543, 451]"
